ResponseID,Campus,Position,StudyArea,ID,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,Comment1,HowOftenL,HowOftenC,HowOftenW,NA1,NA2,NA3,NA4,NA5,NA6,NA7,NA8,NA9,NA10,NA11,NA12,NA13,NA14,NA15,NA16,NA17,NA18,NA19,NA20,NA21,NA22,NA23,NA24,NA25,NA26,NPS1
3274,1,1,1,2,6,6,6,6,6,6,,,,,6,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,6,,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,,2,1,2,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,6
3282,1,1,2,2,7,7,7,7,7,7,,,6,,,7,7,7,7,7,7,7,7,,7,7,7,7,7,,3,6,5,5,4,6,,,6,,,2,4,3,2,5,7,6,7,,7,7,7,7,5,,5,To really ensure that no food is brought into the library! Have seen people bringing in food quite a few times. And probably to have more space..,2,1,2,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,1,10
3294,1,1,6,2,6,6,6,6,7,7,,,6,,6,7,6,7,6,,7,7,6,,7,7,7,7,6,6,5,6,6,6,4,7,,,5,,6,5,4,5,5,,5,7,5,,7,7,6,7,5,6,6,,1,1,2,,,,,,,1,1,,1,,,,,,1,,,,1,,,,,,,8
3318,1,14,4,2,4,7,6,4,4,7,,7,,,7,7,7,7,7,7,7,7,7,7,7,,4,7,,7,7,7,7,7,7,4,,7,,,7,7,7,4,4,7,7,7,7,7,7,,7,7,,7,7,,2,2,2,,,,,,,1,,1,1,,,,,,,,,,,,1,,,1,,9
107,1,3,1,2,6,6,5,4,,6,,6,,6,6,6,6,6,6,,6,6,5,6,6,6,4,5,5,5,6,6,6,5,,6,,6,,6,5,6,6,5,5,,6,6,5,6,6,6,4,5,4,5,6,,3,1,3,,,,,1,,1,,1,,,,,,,1,,,,,,,,,,,8
129,2,1,2,2,5,5,6,,,6,,,,7,7,6,7,7,6,3,7,7,7,5,7,5,6,6,6,6,3,4,6,,,6,,,,7,6,6,5,7,6,7,7,7,6,6,5,5,6,6,5,6,6,Nil,2,1,3,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,10
139,1,6,7,1,5,7,6,4,6,7,,,,,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,6,5,4,2,,,,,6,6,6,4,3,4,7,7,4,5,5,5,6,7,5,,5,"More study spaces, it’s quite hard for postgrade to chop places for group discussion esp when you are not a regular visitor",3,1,3,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,1,7
149,1,6,7,2,6,7,6,5,7,7,5,5,7,4,3,5,5,,6,,6,6,5,,7,,6,,5,7,5,6,5,5,5,5,5,5,6,6,3,5,6,,5,,5,1,6,,5,,4,,5,4,5,Some books are not available or they are in repository.,3,2,3,,,,,,,,,,,,,,1,,1,,,,1,,1,,1,,,7
188,1,3,3,1,7,5,7,4,6,6,6,7,,4,6,,,5,3,5,7,7,5,,6,6,6,7,6,,6,5,7,6,6,7,7,7,,6,5,,,5,6,4,4,7,7,,7,6,7,7,6,,6,Thank you for making the library a fantastic learning space. A potential area for improvement could be the placing of furniture nearer to power points at Level 4. Access to E-textbooks would also be very helpful,1,1,2,,,,,,,,,1,,,1,1,,,,,,,1,,,,,,1,10
194,1,6,4,1,7,7,7,7,7,7,,7,,7,7,,7,7,7,,7,7,7,7,7,,7,7,7,7,4,5,6,6,7,5,,7,,7,5,,7,7,7,,7,7,7,5,6,,7,7,7,4,6," - Working time on Sundays could start by 12
- Browzine app is very difficult to navigate
- could have more online copies of those hardcover books with only 1 copy",1,1,3,,,,,,,1,,1,,,1,,,,1,,,,,,1,,,,,9
195,1,2,2,2,3,5,4,,3,6,,6,,5,,6,5,7,7,,7,7,6,6,7,4,6,5,5,6,5,6,6,,4,6,,5,,7,,6,5,4,5,,5,7,5,6,6,5,7,6,5,5,6,"More study spaces instead of aesthetic furniture, since it might occupy the space which could have been better used by students.",2,1,3,,,,1,,,1,,1,,1,,,,,1,,,,,,,,,,,8
216,1,3,3,2,6,6,6,5,6,6,,6,6,,6,5,,6,5,,,6,6,6,6,6,3,5,5,5,5,5,6,5,6,6,,6,6,,6,5,,6,5,,,6,6,6,6,6,3,5,5,5,6,"I hope there could be more instructions and guide on how to get remote access to bloomberg and reuters. 

Thnk you.",3,1,2,,,,,,,1,,,1,,,1,,,1,1,,,,,,,,,,7
239,1,11,3,2,7,7,6,7,7,4,7,7,7,6,7,7,7,,5,,,7,,6,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,,5,,,7,,6,7,,7,7,7,7,7,"Excellent facility, up-to-date, with excellent staff. One small area could be the student workers at the front desk be better trained in customer service to give the Library a more professional, friendlier, more approachable feel. Sometimes (not always) during quiet periods, student workers are seen immersed in their mobiles at the front desk, for example, instead of looking out for anyone who might be watching and wanting to approach them and ask questions but hesitant to interrupt them. The front desk is very often the first impression of the Library, especially to newcomers. But in everything and overall, the Library is really superb and excellent, thank you.",3,1,2,,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,,10
243,1,2,6,2,5,7,7,6,6,7,,7,,,6,,7,5,7,,7,7,5,6,7,6,4,5,6,4,5,7,7,7,7,7,,7,,,5,,7,3,6,,7,7,4,6,7,6,6,5,6,2,6,Maybe recommended books section for the various schools if there isn't one already? You could send an email at the beginning of the semester updating students about new books related to their courses.,3,1,2,,,,,,,1,,1,1,,1,,,,1,,,,,,,,,,,9
247,1,6,2,1,5,7,7,7,7,7,,7,,7,7,7,7,6,7,,7,7,7,6,6,7,,6,6,6,5,7,7,6,6,7,,7,,7,5,7,7,5,3,,7,7,6,5,5,4,,7,6,6,6,,1,1,1,,,,,,,1,,1,,,,,,,1,,,,,,,1,,,,9
252,1,2,2,2,3,7,4,4,5,6,,,,6,,6,7,7,7,7,7,7,7,,7,7,7,7,7,7,4,6,5,4,6,6,,,,6,,6,6,7,7,7,5,7,5,,6,5,7,6,7,5,5,There is only 2 power charging outlet per table at level 5 quiet area and they are located at the far end of the table. I think more sockets can be provided.,2,1,2,,,,,,,1,1,1,,1,,,,,,,,,1,,,,,,,8
353,1,2,2,2,4,7,6,6,7,5,,7,7,,,,7,7,7,7,7,7,7,,7,7,7,7,7,6,7,5,5,7,6,6,,7,7,,,,7,5,5,6,6,6,6,,7,7,7,7,7,7,7,NIL,3,1,2,,,,,,,1,,,1,1,1,,,,,,,,1,,,,,,,10
364,1,1,2,2,6,7,7,7,6,7,,,,,,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5,6,7,5,7,5,7,,,,,,7,7,5,7,5,7,7,7,7,7,7,7,7,7,5,6, -,1,1,1,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,10
459,2,2,5,2,7,7,5,,7,7,7,7,,7,7,,7,7,,,7,7,7,7,7,7,7,7,7,7,6,6,7,,3,7,7,7,,6,5,,7,3,,,5,7,4,5,3,3,4,6,6,4,5,"Too few copies of high-demand books that professors list as recommended texts
Library often buys one hard copy of a book when it can buy an eBook instead
Range of books available is decent but still limited. Eg there are three leading books on the topic that I'm writing my research paper on, but SMU has only one of them",2,1,1,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,,,7
533,1,1,2,2,6,5,6,7,7,7,,,,7,,7,7,7,7,7,7,7,7,6,7,7,,6,6,6,6,6,6,7,7,7,,,,7,,7,6,7,7,7,7,7,7,6,6,7,,5,6,6,7,"The library has been a great place to study, no further improvements i would like to suggest for now!",1,1,3,,,,,,,1,1,1,,1,,,,,,,,,,,,1,,,,9
536,2,14,5,2,6,7,7,,7,7,7,,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,,,4,6,5,,3,2,6,,5,5,2,3,4,5,2,,7,7,1,4,7,1,2,4,,,5,Bring back the old copiers. Stock up the books in the Course Reserves.,1,1,2,,,,1,,,,1,,,,,,,,1,,,,,,,,,1,1,7
551,1,2,3,2,5,,6,5,7,7,,6,,6,,6,7,7,7,,7,7,7,7,7,7,6,6,6,7,6,,5,6,6,7,,6,,5,,5,6,5,5,,5,7,6,6,6,6,5,5,5,6,6,more proper seats for proper studying,2,2,4,,1,,,,,1,,1,,1,,,,,1,,,,,,,,,,,9
554,1,3,1,2,5,6,6,,6,5,7,6,,,5,6,7,7,7,,7,7,7,6,6,,5,6,6,7,5,6,6,,5,5,7,6,,,5,6,7,5,5,,7,7,7,6,6,,6,6,6,5,6,Level 5 study space can be better to improve study environment,2,1,3,,,,1,,,,,1,1,,,,,,1,,,,,,1,,,,,8
557,1,6,1,1,6,6,6,5,,7,,7,6,,7,5,7,7,7,7,7,7,7,5,7,7,7,,6,7,4,4,4,5,,5,,7,6,,6,5,5,3,2,2,6,7,4,6,4,4,6,,5,5,5,,1,1,2,,,,,1,,1,,,1,,,,,,,,,,,,,,1,,,7
565,1,2,1,2,5,7,7,,7,7,,,7,7,7,7,7,4,4,,5,6,1,,7,7,7,7,7,7,5,7,7,,7,7,,,7,7,7,7,7,5,5,,6,6,1,,7,7,7,7,7,7,6,Please fix the printers,2,1,3,,,,1,,,1,1,,,,,,,,1,,,,1,,,,,,,7
569,1,6,4,1,3,5,7,4,4,7,4,4,5,7,2,6,7,7,7,1,7,7,7,2,2,,,,,,7,7,7,7,7,7,6,7,6,7,7,7,7,4,6,7,7,7,4,7,7,,,,,,7,Airconditioning in level 5 graduate lounge (smaller room) is too cold.,1,1,4,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,10
573,1,1,1,2,4,5,4,6,6,7,,,,,6,6,6,7,7,6,7,7,7,5,7,7,7,7,6,6,4,5,4,6,6,7,,,,,6,6,6,7,5,5,5,7,6,5,6,5,6,6,6,5,6,,4,1,2,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,8
590,1,6,2,1,5,,4,5,4,7,,5,,7,5,4,5,7,7,,7,7,6,5,4,5,5,6,5,5,3,,4,4,5,5,,5,,3,3,4,5,6,7,,7,7,4,4,4,5,4,6,5,5,5,,2,1,2,,1,,,,,1,,1,,,,,,,1,,,,,,,,,,,7
